"","NIC3","NIC4","NIC5","NIC6","NIC7","S52","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC12nova","NIC22nova"
"Cancer cells",0.559668128277878,0.704478735415882,0.852051234453314,0.685846208488723,0.672475142163546,0.738247326491064,0.673948576098573,0.583496631143801,0.522406136455389,0.897791648292004,0.700539568345324,0.575446615980223,0.841759027529496,0.800686172967374,0.461683654209136,0.798701720220708,0.581200646941299,0.460080173709704,0.537832817337461,0.399088337000943,0.57572556943424,0.673948576098573,0.798701720220708
"Stromal cells",0.159186656349411,0.127098231087693,0.0654817152403935,0.176286035636062,0.16577433407602,0.0603244096748726,0.106336832840888,0.0568007945668805,0.288655631812677,0.0483055734590726,0.114774846789235,0.199402957227483,0.0991776903825527,0.109334541688244,0.269913174782937,0.0300876338851022,0.156122157739511,0.145440120260565,0.296800825593395,0.267643822697265,0.243065760470243,0.106336832840888,0.0300876338851022
"Bcells",0.00116069125612587,0.000752728641324804,0.00171709671431223,0,0.000698347244853846,7.17720519629656e-05,0.00223172188344754,0.00389230397551875,0.00127325238346636,3.39224532718206e-05,0.00193178790301092,0.0130136666822147,0,6.47332988089073e-05,0.00113250283125708,0.00292112950340798,0.000570830558462563,0.0058877568064139,4.12796697626419e-05,0.0123388871424081,0.000367376928728876,0.00223172188344754,0.00292112950340798
"CD4 Tcells",0.0424297136961568,0.025705683101242,0.0200946723593837,0.0289469010832889,0.0324565195703502,0.0326921696691309,0.0430942352423461,0.0480229780151934,0.0439116797614981,0.00637742121510227,0.0744404476418865,0.033770231820514,0.0139435109045406,0.0171543241843604,0.0337863344658362,0.0281077572216813,0.0619351155931882,0.0879822949724404,0.0130856553147575,0.0784344545740332,0.0569893460690668,0.0430942352423461,0.0281077572216813
"Regulatory CD4 Tcells",0.0140142722035939,0.00782837786977795,0.00561537033599406,0.00621559225714793,0.0119051577932227,0.00448575324768535,0.00832966618469856,0.0103347381418946,0.020185708518369,0.00105159605142644,0.0077271516120437,0.00694995102383507,0.00157311405076868,0.00284826514759192,0.00811627029067573,0.0071080817916261,0.00656455142231947,0.0153666276933356,0.00144478844169247,0.0177617101540396,0.00987325495958854,0.00832966618469856,0.0071080817916261
"CD8 Tcells",0.00962943856934055,0.00387655250282274,0.00292370521626137,0.00586041555673948,0.00276013434870806,0.0418072202684275,0.037687810397938,0.0641827503825195,0.00512406447004751,0.00783608670579057,0.00746069810818012,0.00573720789215915,0.00214515552377547,0.00317193164163646,0.00339750849377123,0.0285296981499513,0.0174103320331082,0.01227659929848,0.00119711042311662,0.0191763596353348,0.00307678177810434,0.037687810397938,0.0285296981499513
"Proliferative Tcells",0.00038689708537529,0.000526910048927363,0.000881752366808985,0.000118392233469484,0.00129693059758571,0.00118423885738893,0.00242031809895015,0.0061471559337503,0.000869538213098972,3.39224532718206e-05,0.00223154809485745,0.000326507766220439,0.000143010368251698,0.000388399792853444,0.00151000377500944,0.000421940928270042,0.000570830558462563,0.00229664272590613,0.000743034055727554,0.00176831185161899,0.000734753857457751,0.00242031809895015,0.000421940928270042
"NK cells",0.00128965695125097,0.00380127963869026,0.00408390569890477,0.00485408157224886,0.00538725017458682,0.000574176415703725,0.00176023134469101,0.00550291251711272,0.00916120617372132,0.000440991892533669,0.00309752198241407,0.012827090815803,0.00235967107615302,0.00919212843086484,0.0018875047187618,0.00113599480688088,0.00161735324897726,0.00129447135460164,0.00020639834881321,0.0057371895630305,0.00257163850110213,0.00176023134469101,0.00113599480688088
"Macro/mono Lineage",0.154242971369616,0.0638313887843433,0.039910896602933,0.0652933167584206,0.0779155997472648,0.0990454317088925,0.0703149556798893,0.0945158779158725,0.0725753858575821,0.0212693782014315,0.0688782307487344,0.0924949857735901,0.0325348587772614,0.0528223718280684,0.145904114760287,0.0459591041869523,0.128246598801256,0.124895607148822,0.121444788441692,0.115569003458032,0.0895022042615723,0.0703149556798893,0.0459591041869523
"Other cells",0.0579915742412519,0.0621001129092963,0.00723965101169482,0.0265790564138992,0.0293305842838616,0.0215675016148712,0.0538756522285787,0.127103857407457,0.0358373963541505,0.0168594592760949,0.0189181987743139,0.060030785017958,0.00636396138720057,0.00433713102019679,0.0726689316723292,0.0570269393054204,0.0457615831034154,0.144479706029731,0.027203302373581,0.0824819239232946,0.0180933137398971,0.0538756522285787,0.0570269393054204
